name,prompt,negative_prompt
Style: The Goldfinch,"The Goldfinch {prompt} . Drama, art, trauma, highly detailed","action, science, joy, undetailed"
Style: High Life,"High Life {prompt} . Sci-fi, space travel, isolation, highly detailed","romantic comedy, road trip, companionship, undetailed"
Style: The Nightingale,"The Nightingale {prompt} . Drama, revenge, colonial Tasmania, highly detailed","romantic comedy, forgiveness, modern California, undetailed"
Style: Yesterday,"Yesterday {prompt} . Comedy, music, The Beatles, highly detailed","drama, silence, unknown band, undetailed"
Style: Doctor Sleep,"Doctor Sleep {prompt} . Horror, supernatural, The Shining sequel, highly detailed","romantic comedy, natural, standalone story, undetailed"
Style: The Farewell (2),"The Farewell {prompt} . Drama, family, terminal illness, highly detailed","romantic comedy, friends, good health, undetailed"
Style: John Wick 3,"John Wick 3 {prompt} . Action, assassin, relentless pursuit, highly detailed","romantic comedy, pacifist, peaceful life, undetailed"
Style: Us,"Us {prompt} . Horror, doppelgängers, underground, highly detailed","romantic comedy, identical twins, above ground, undetailed"
Style: The Irishman (2),"The Irishman {prompt} . Crime, mobster, union, highly detailed","romantic comedy, law-abiding citizen, small business, undetailed"
Style: Honey Boy,"Honey Boy {prompt} . Drama, father-son relationship, Hollywood, highly detailed","romantic comedy, mother-daughter relationship, a small town, undetailed"
Style: Joker (2),"Joker {prompt} . Drama, mental health, Gotham City, highly detailed","romantic comedy, mental well-being, Metropolis, undetailed"
Style: Uncut Gems (2),"Uncut Gems {prompt} . Crime, gambling, New York City's Diamond District, highly detailed","romantic comedy, savings, rural town, undetailed"
Style: 1917 (2),"1917 {prompt} . War, World War I, real-time, highly detailed","romantic comedy, peacetime, timeless, undetailed"
Style: Ford v Ferrari (2),"Ford v Ferrari {prompt} . Drama, racing, corporate politics, highly detailed","romantic comedy, walking, friendship, undetailed"
Style: Cats,"Cats {prompt} . Musical, anthropomorphic cats, surreal, highly detailed","action, ordinary humans, realism, undetailed"
Style: Jojo Rabbit (2),"Jojo Rabbit {prompt} . Comedy-drama, World War II, Hitler Youth, highly detailed","romantic comedy, modern day, ordinary youth, undetailed"
Style: Parasite (2),"Parasite {prompt} . Drama, social class, deception, highly detailed","romantic comedy, equality, honesty, undetailed"
Style: The Lion King (2),"The Lion King {prompt} . Animated, animal kingdom, Shakespearean, highly detailed","live-action, human kingdom, modern, undetailed"
Style: Aladdin (2),"Aladdin {prompt} . Animated, Middle Eastern, magic, highly detailed","live-action, Western, science, undetailed"
Style: Toy Story 4,"Toy Story 4 {prompt} . Animated, toys, adventure, highly detailed","live-action, non-living objects, ordinary life, undetailed"
Style: Avengers: Endgame (2),"Avengers: Endgame {prompt} . Superhero, epic, time travel, highly detailed","romantic comedy, small-scale, present day, undetailed"
Style: Star Wars: The Rise of Skywalker,"Star Wars: The Rise of Skywalker {prompt} . Sci-fi, space opera, Jedi, highly detailed","romantic comedy, earthbound, everyday person, undetailed"
Style: Downton Abbey,"Downton Abbey {prompt} . Drama, British aristocracy, period piece, highly detailed","romantic comedy, modern middle class, present day, undetailed"
Style: Frozen 2,"Frozen 2 {prompt} . Animated, fairytale, sisterhood, highly detailed","live-action, realism, rivalry, undetailed"
Style: Little Women (2),"Little Women {prompt} . Drama, sisters, Civil War era, highly detailed","action, brothers, modern day, undetailed"
Style: 2D Traditional Animation,"traditional 2D animation {prompt} . hand-drawn, frames, expressive, vibrant colors, highly detailed","3D, CG, stop-motion, photo-realistic, black and white"
Style: CGI Animation,"CGI animation {prompt} . 3D, photorealistic, high-quality textures and lighting, highly detailed","2D, stop-motion, anime, manga, black and white"
Style: Stop-Motion Animation,"stop-motion animation {prompt} . physical models, frame-by-frame, quirky, distinctive, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Claymation,"claymation {prompt} . clay models, stop-motion, handcrafted, tactile, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Vector Animation,"vector animation {prompt} . digital, clean lines, geometric shapes, bold colors, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Flash Animation,"flash animation {prompt} . digital, vector graphics, tweening, simple shapes, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Rotoscope Animation,"rotoscope animation {prompt} . traced over live-action, realistic movement, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Cut-Out Animation,"cut-out animation {prompt} . paper or fabric cut-outs, stop-motion, handcrafted, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Sand Animation,"sand animation {prompt} . sand manipulated on light box, fluid movement, highly detailed","2D, 3D, CG, anime, manga, black and white"
Style: Pixel Art Animation,"pixel art animation {prompt} . low-res, blocky, digital, 8-bit, highly detailed","stop-motion, claymation, 3D, CG, black and white"
Style: Anime Style Animation,"anime style animation {prompt} . Japanese style, hand-drawn or digital, vibrant, unique character designs, highly detailed","western cartoons, 3D, CG, black and white"
Style: Manga Style Art,"manga style {prompt} . Japanese comics, black and white, unique character designs, detailed backgrounds, highly detailed","western comics, 3D, CG, vibrant colors"
Style: Chibi Style Art,"chibi style {prompt} . Japanese, super-deformed, cute, exaggerated features, vibrant colors, highly detailed","realistic, 3D, CG, western comics, black and white"
Style: Superflat,"superflat {prompt} . Japanese, postmodern art, flat planes of color, manga and anime influences, highly detailed","3D, CG, western art styles, black and white"
Style: Ukiyo-e (3),"ukiyo-e style {prompt} . Japanese woodblock prints, flat areas of color, detailed patterns, subjects from history and mythology, highly detailed","modern, 3D, CG, western art styles, black and white"
Style: Western Comics Art,"western comics art {prompt} . bold lines, dynamic poses, vibrant colors, dramatic lighting, highly detailed","anime, manga, 3D, CG, black and white"
Style: Graphic Novel Art,"graphic novel art {prompt} . detailed, expressive, ranges from black and white to full color, often more realistic than traditional comics, highly detailed","anime, manga, 3D, CG, western comics"
Style: Cartoon Modern,"cartoon modern {prompt} . mid-century modern aesthetic, stylized, geometric shapes, flat colors, highly detailed","realistic, 3D, CG, anime, manga, black and white"
Style: Abstract Animation,"abstract animation {prompt} . nonrepresentational, uses movement and color to create mood or emotion, highly detailed","realistic, 3D, CG, anime, manga, black and white"
Style: Silhouette Animation,"silhouette animation {prompt} . black figures against light background, dramatic, based on shadow puppetry, highly detailed","colorful, 3D, CG, anime, manga, black and white"
Style: Looney Tunes,"Looney Tunes {prompt} . Cartoon, slapstick humor, dynamic and exaggerated character designs, colorful, vibrant, whimsical","3D, realism, manga, black and white, subdued, serious"
Style: Disney Classic,"Disney Classic {prompt} . Animation, fairy tales, musical numbers, expressive characters, bright colors, detailed, professional","manga, anime, black and white, sketchy, rough"
Style: Studio Ghibli,"Studio Ghibli {prompt} . Anime, magical realism, environmental themes, unique characters, breathtaking landscapes, highly detailed","cartoon, slapstick, black and white, photo-realistic, barren"
Style: Pixar,"Pixar {prompt} . 3D animation, heartwarming stories, photorealistic environments, appealing character designs, emotional depth, detailed, professional","2D, anime, manga, black and white, sketchy"
Style: Shōnen,"Shōnen {prompt} . Manga, action-packed, youthful characters, dynamic battles, inspiring themes, highly detailed","Disney, Pixar, black and white, realism, romantic comedy"
Style: Mecha,"Mecha {prompt} . Anime, robots, futuristic technologies, dynamic battles, detailed mechanical designs, highly detailed","Disney, Pixar, cartoon, Looney Tunes, realism, fairy tales"
Style: Shojo,"Shojo {prompt} . Manga, romantic themes, delicate art style, emotional narratives, highly detailed","action, mecha, 3D, Pixar, black and white, barren"
Style: Nickelodeon,"Nickelodeon {prompt} . Cartoon, humor, dynamic characters, wacky and colorful designs, highly detailed","anime, manga, black and white, sketchy, serious"
Style: Cartoon Network,"Cartoon Network {prompt} . Cartoon, humor, dynamic characters, unique and abstract designs, highly detailed","anime, manga, black and white, sketchy, serious"
Style: Adult Swim,"Adult Swim {prompt} . Animation, adult humor, surreal themes, unique and abstract designs, highly detailed","children's cartoons, Disney, fairy tales, bright colors, traditional"
Style: Adventure Time,"Adventure Time {prompt} . Cartoon, fantasy themes, quirky characters, vibrant colors, highly detailed","anime, manga, black and white, sketchy, serious"
Style: Rick and Morty,"Rick and Morty {prompt} . Cartoon, science fiction, adult humor, unique and abstract designs, highly detailed","children's cartoons, Disney, fairy tales, bright colors, traditional"
Style: South Park,"South Park {prompt} . Animation, satire, crude humor, simplistic designs, highly detailed","anime, manga, Disney, Pixar, detailed, professional"
Style: The Simpsons,"The Simpsons {prompt} . Animation, satire, family themes, recognizable yellow characters, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Family Guy,"Family Guy {prompt} . Animation, adult humor, satirical themes, cartoonish designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Bob's Burgers,"Bob's Burgers {prompt} . Animation, family themes, humor, quirky characters, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Gravity Falls,"Gravity Falls {prompt} . Cartoon, mystery, fantasy themes, unique character designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: Steven Universe,"Steven Universe {prompt} . Cartoon, LGBTQ+ themes, fantasy, vibrant colors, unique character designs, highly detailed","anime, manga, Disney, Pixar, black and white"
Style: One Piece,"One Piece {prompt} . Manga, adventure, pirates, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Attack on Titan,"Attack on Titan {prompt} . Anime, dystopian, giants, dynamic battles, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: My Hero Academia,"My Hero Academia {prompt} . Anime, superhero, high school, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Naruto,"Naruto {prompt} . Anime, ninjas, coming-of-age, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Dragon Ball Z,"Dragon Ball Z {prompt} . Anime, martial arts, aliens, dynamic battles, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Sailor Moon,"Sailor Moon {prompt} . Anime, magical girls, romance, unique character designs, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Cowboy Bebop,"Cowboy Bebop {prompt} . Anime, space western, bounty hunters, noir themes, highly detailed","cartoon, realism, Disney, Pixar, black and white"
Style: Van Gogh,"Van Gogh style {prompt} . Expressive, impasto, swirling brushwork, vibrant","realistic, photorealistic, calm, straight lines"
Style: Warhol,"Warhol style {prompt} . Pop art, bold colors, mass production, repetitive","subdued colors, traditional, unique, serious"
Style: Picasso,"Picasso style {prompt} . Cubist, geometric, abstract, innovative","realistic, detailed, smooth, fluid, single perspective"
Style: Da Vinci,"Da Vinci style {prompt} . Realistic, sfumato, detailed, chiaroscuro","abstract, vibrant colors, bold, loose brushwork"
Style: Monet,"Monet style {prompt} . Impressionist, light-filled, loose brushwork, en plein air","defined, detailed, subdued, studio work"
Style: Dali,"Dali style {prompt} . Surrealist, dreamlike, bizarre, symbolic","realistic, ordinary, rational, clear, obvious"
Style: Pollock,"Pollock style {prompt} . Abstract expressionist, gestural, dripping, layered","sharp, precise, realistic, calm"
Style: Rothko,"Rothko style {prompt} . Color field, abstract, simple, large-scale","detailed, small, complex, figurative"
Style: Matisse,"Matisse style {prompt} . Fauvist, bold colors, loose, decorative","realistic, subdued colors, detailed, serious"
Style: Banksy,"Banksy style {prompt} . Street art, satirical, stenciled, urban","classic, traditional, indoor, realism"
Style: Michelangelo,"Michelinagelo style {prompt} . High Renaissance, sculptural, detailed, humanistic","abstract, loose, simplistic, impersonal"
Style: Kusama,"Kusama style {prompt} . Pop Art, abstract, polka dots, immersive","plain, monotone, realistic, sparse"
Style: Hokusai,"Hokusai style {prompt} . Ukiyo-e, woodblock print, detailed, narrative","abstract, free-form, modern, minimal"
Style: O'Keeffe,"O'Keeffe style {prompt} . Modernist, floral, bold, abstract","small scale, detailed, muted colors, complex"
Style: Cézanne,"Cézanne style {prompt} . Post-impressionist, geometric, detailed, brushstrokes","smooth, flat, loose, fluid"
Style: Hopper,"Hopper style {prompt} . Realistic, light and shadow, loneliness, American urban","busy, crowded, vibrant, abstract"
Style: Klimt,"Klimt style {prompt} . Symbolist, decorative, ornamental, sensual","simple, bare, abstract, rough"
Style: Chagall,"Chagall style {prompt} . Surrealist, dreamy, vibrant, narrative","realistic, dull, serious, minimal"
Style: Lichtenstein,"Lichtenstein style {prompt} . Pop art, comic strip, bold, ironic","realistic, traditional, serious, detailed"
Style: Basquiat,"Basquiat style {prompt} . Neo-expressionist, primitive, graffiti, social commentary","polished, elegant, subdued, subtle"
Style: Frida Kahlo,"Frida Kahlo style {prompt} . Symbolic, surrealistic, emotional, vibrant","realistic, subdued, impersonal, monochromatic"
Style: Georgia O'Keeffe,"Georgia O'Keeffe style {prompt} . Modernist, abstract, large scale, organic","small, detailed, geometric, muted colors"
Style: Jackson Pollock,"Jackson Pollock style {prompt} . Abstract expressionist, action painting, drip technique, energetic","controlled, figurative, calm, small scale"
Style: Rembrandt,"Rembrandt style {prompt} . Baroque, chiaroscuro, realistic, emotional","flat lighting, abstract, impersonal, clean"
Style: Renoir,"Renoir style {prompt} . Impressionist, vibrant, lively, warm","dull, calm, detailed, cool colors"
Style: Magritte,"Magritte style {prompt} . Surrealist, thought-provoking, mysterious, realistic","abstract, obvious, open, unrefined"
Style: Manet,"Manet style {prompt} . Realistic, impressionistic, bold, contemporary","abstract, traditional, timid, historical"
Style: Vermeer,"Vermeer style {prompt} . Baroque, detailed, light, tranquil","abstract, rough, dark, chaotic"
Style: Caravaggio,"Caravaggio style {prompt} . Baroque, chiaroscuro, dramatic, realistic","soft lighting, calm, abstract, idealized"
Style: Rodin,"Rodin style {prompt} . Realistic, expressive, textured, bronze","smooth, emotionless, polished, painted"
Style: Botticelli,"Botticelli style {prompt} . Early Renaissance, allegorical, graceful, detailed","abstract, harsh, simplified, rough"
Style: Edward Hopper,"Edward Hopper style {prompt} . Realistic, isolation, architectural, strong contrast","crowded, organic, soft lighting, abstract"
Style: Keith Haring,"Keith Haring style {prompt} . Pop art, bold lines, vibrant colors, social messages","subtle, realistic, muted colors, personal"
Style: Damien Hirst,"Damien Hirst style {prompt} . Contemporary, shocking, conceptual, large scale","traditional, calming, handcrafted, small scale"
Style: Yayoi Kusama,"Yayoi Kusama style {prompt} . Contemporary, polka dots, immersive, psychedelic","traditional, plain, minimalist, calm"
Style: Francis Bacon,"Francis Bacon style {prompt} . Existential, distorted, unsettling, expressive","comforting, realistic, calm, subdued"
Style: Ai Weiwei,"Ai Weiwei style {prompt} . Conceptual, political, traditional Chinese materials, large-scale","apolitical, contemporary, small-scale, western materials"
Style: Cindy Sherman,"Cindy Sherman style {prompt} . Conceptual, self-portrait, character study, cinematic","landscape, group portraits, candid, documentary"
Style: Frank Stella,"Frank Stella style {prompt} . Minimalist, geometric, large scale, non-representational","maximalist, organic, small scale, representational"
Style: Lucian Freud,"Lucian Freud style {prompt} . Realistic, impasto, psychological, intimate","abstract, smooth, impersonal, public"
Style: Marc Chagall,"Marc Chagall style {prompt} . Dreamlike, vibrant, symbolic, folklore-inspired","realistic, subdued, literal, modern"
Style: Roy Lichtenstein,"Roy Lichtenstein style {prompt} . Pop art, comic strip influence, bold outlines, primary colors","abstract, realistic, pastel colors, complex"
Style: Thomas Kinkade,"Thomas Kinkade style {prompt} . Romantic, idealized, warm light, detailed","abstract, harsh, cool light, minimalist"
Style: Joan Miró,"Joan Miró style {prompt} . Surrealist, abstract, biomorphic forms, primary colors","realistic, figurative, complex, muted colors"
Style: Gerhard Richter,"Gerhard Richter style {prompt} . Abstract, textured, layered, scraped","realistic, smooth, single-layer, detailed"
Style: Wassily Kandinsky,"Wassily Kandinsky style {prompt} . Abstract, geometric, vibrant, musical","realistic, organic, muted, silent"
Style: Norman Rockwell,"Norman Rockwell style {prompt} . Realistic, narrative, Americana, detailed","abstract, non-narrative, foreign, minimalist"
Style: Bridget Riley,"Bridget Riley style {prompt} . Op art, geometric, black and white, optical illusion","organic, color, realistic, straightforward"
Style: Piet Mondrian,"Piet Mondrian style {prompt} . De Stijl, geometric, primary colors, black grid","organic, multiple colors, no grid, curved lines"
Style: Salvador Dalí,"Salvador Dalí style {prompt} . Surrealist, dreamlike, symbolic, detailed","realistic, ordinary, literal, sketchy"
Style: Mary Cassatt,"Mary Cassatt style {prompt} . Impressionist, domestic life, soft colors, loose brushwork","abstract, public life, vibrant colors, precise"
Style: Diego Rivera,"Diego Rivera style {prompt} . Muralist, social realist, Mexican culture, narrative","miniature, abstract, foreign, non-narrative"
Style: Jean-Michel Basquiat,"Jean-Michel Basquiat style {prompt} . Neo-expressionist, graffiti influence, raw, socially critical","classical, polished, refined, apolitical"
Style: Henry Moore,"Henry Moore style {prompt} . Abstract, organic, bronze, monumental","realistic, geometric, miniature, pastel"
Style: Frida Kahlo (2),"Frida Kahlo style {prompt} . Surrealist, symbolic, vibrant, autobiographical","realistic, abstract, dull, impersonal"
Style: Grant Wood,"Grant Wood style {prompt} . Regionalist, rural, detailed, Americana","urban, abstract, vague, non-American"
Style: Edward Hopper (2),"Edward Hopper style {prompt} . Realistic, isolation, strong light, urban","impressionistic, crowded, soft light, rural"
Style: Andy Goldsworthy,"Andy Goldsworthy style {prompt} . Environmental art, natural materials, temporary, site-specific","urban art, man-made materials, permanent, unspecific site"
Style: Louise Bourgeois,"Louise Bourgeois style {prompt} . Abstract, psychological, large-scale, organic","realistic, impersonal, small-scale, geometric"
Style: Ansel Adams,"Ansel Adams style {prompt} . Black and white, nature, high contrast, detailed","color, urban, low contrast, vague"
Style: Yoko Ono,"Yoko Ono style {prompt} . Conceptual, minimalist, performance, participatory","decorative, maximalist, static, non-interactive"
Style: Gustav Klimt,"Gustav Klimt style {prompt} . Symbolist, decorative, golden, intricate","realistic, functional, monochrome, simplified"
Style: Jeff Koons,"Jeff Koons style {prompt} . Contemporary, kitsch, glossy, large-scale","traditional, serious, matte, small-scale"
Style: John Singer Sargent,"John Singer Sargent style {prompt} . Realistic, elegant, portrait, expressive","abstract, casual, landscape, subdued"
Style: Marcel Duchamp,"Marcel Duchamp style {prompt} . Dada, readymade, conceptual, controversial","traditional, handmade, decorative, safe"
Style: Claude Monet,"Claude Monet style {prompt} . Impressionist, outdoor, light, loose brushwork","neoclassical, indoor, dark, tight brushwork"
Style: Anish Kapoor,"Anish Kapoor style {prompt} . Abstract, large-scale, reflective, curved","figurative, small-scale, matte, straight lines"
Style: Hieronymus Bosch,"Hieronymus Bosch style {prompt} . Surrealist, detailed, religious, narrative","realistic, abstract, secular, non-narrative"
Style: Paul Gauguin,"Paul Gauguin style {prompt} . Post-Impressionist, exotic, bold colors, flat","Impressionist, familiar, muted colors, volumetric"
Style: Katsushika Hokusai,"Katsushika Hokusai style {prompt} . Ukiyo-e, nature, woodblock print, detailed","western style, urban, oil painting, abstract"
Style: Pierre-Auguste Renoir,"Pierre-Auguste Renoir style {prompt} . Impressionist, joyful, light, loose brushwork","neoclassical, somber, dark, tight brushwork"
Style: Antony Gormley,"Antony Gormley style {prompt} . Sculpture, human form, rusted, site-specific","painting, abstract, polished, gallery-based"
Style: Kazimir Malevich,"Kazimir Malevich style {prompt} . Suprematist, abstract, geometric, minimal","realistic, organic, decorative, complex"
Style: Jean-Antoine Watteau,"Jean-Antoine Watteau style {prompt} . Rococo, outdoor, elegant, lively","Baroque, indoor, serious, static"
Style: Constantin Brâncuși,"Constantin Brâncuși style {prompt} . Modernist, abstract, bronze, streamlined","traditional, figurative, wood, complex"
Style: Egon Schiele,"Egon Schiele style {prompt} . Expressionist, figure, distorted, emotional","Impressionist, landscape, proportional, detached"
Style: Nam June Paik,"Nam June Paik style {prompt} . Video art, technological, interactive, large-scale","painting, traditional, static, small-scale"
Style: James Whistler,"James Whistler style {prompt} . Tonalism, atmospheric, subdued, abstract","Fauvism, vibrant, bold, detailed"
Style: Wassily Kandinsky (2),"Wassily Kandinsky style {prompt} . Abstract, musical, geometric, vibrant","realistic, silent, organic, subdued"
Style: Lucio Fontana,"Lucio Fontana style {prompt} . Spatialism, monochrome, slashed, minimal","Futurism, colorful, whole, detailed"
Style: Artemisia Gentileschi,"Artemisia Gentileschi style {prompt} . Baroque, dramatic, biblical, female-centric","Rococo, calm, mythological, male-centric"
Style: Jean Dubuffet,"Jean Dubuffet style {prompt} . Art Brut, textured, primal, abstract","Academic art, smooth, refined, realistic"
Style: Sandro Botticelli,"Sandro Botticelli style {prompt} . Early Renaissance, mythological, linear, vibrant","Baroque, historical, painterly, subdued"
Style: Carl Andre,"Carl Andre style {prompt} . Minimalist, geometric, industrial, ground-level","Baroque, organic, handcrafted, elevated"
Style: David Hockney,"David Hockney style {prompt} . Pop art, landscape, vibrant, digital","Abstract Expressionism, figure, subdued, traditional"
Style: Jenny Holzer,"Jenny Holzer style {prompt} . Conceptual, text-based, public, LED","painting, image-based, private, canvas"
Style: Dante Gabriel Rossetti,"Dante Gabriel Rossetti style {prompt} . Pre-Raphaelite, medieval, literary, romantic","Futurist, modern, abstract, stark"
Style: Zaha Hadid,"Zaha Hadid style {prompt} . Modernist, organic, futuristic, curved","Classical, geometric, traditional, straight lines"
Style: Takashi Murakami,"Takashi Murakami style {prompt} . Superflat, pop culture, colorful, cartoonish","Cubist, high culture, monochrome, realistic"
Style: Edward Weston,"Edward Weston style {prompt} . Photography, black and white, still life, detailed","Painting, color, action, abstract"
Style: Edvard Munch,"Edvard Munch style {prompt} . Expressionist, psychological, bold colors, distorted","Impressionist, physical, muted colors, proportional"
Style: Ai Weiwei (2),"Ai Weiwei style {prompt} . Contemporary, political, traditional Chinese materials, large-scale","Classical, apolitical, modern materials, small-scale"
Style: Georges Braque,"Georges Braque style {prompt} . Cubist, abstract, collage, muted colors","Romantic, realistic, oil painting, vibrant colors"
Style: Sol LeWitt,"Sol LeWitt style {prompt} . Conceptual, geometric, minimal, instructional","Expressionist, organic, complex, spontaneous"
Style: Mary Cassatt (2),"Mary Cassatt style {prompt} . Impressionist, domestic, pastel, feminine","Realist, urban, oil, masculine"
Style: Damien Hirst (2),"Damien Hirst style {prompt} . Contemporary, controversial, installation, medical","Classical, traditional, canvas, floral"
Style: Giuseppe Arcimboldo,"Giuseppe Arcimboldo style {prompt} . Mannerist, portrait, food, symbolic","Cubist, landscape, abstract, literal"
Style: Yves Klein,"Yves Klein style {prompt} . Nouveau réalisme, monochrome, blue, performance","Pop Art, colorful, red, static"
Style: Frida Kahlo (3),"Frida Kahlo style {prompt} . Surrealist, autobiographical, vibrant, symbolic","Realist, historical, muted, literal"
Style: Piet Mondrian (2),"Piet Mondrian style {prompt} . De Stijl, geometric, primary colors, balanced","Surrealist, organic, pastel colors, chaotic"
Style: Bridget Riley (2),"Bridget Riley style {prompt} . Op Art, geometric, black and white, optical","Impressionist, organic, colorful, static"
Style: Mark Rothko,"Mark Rothko style {prompt} . Abstract Expressionist, color field, large-scale, emotional","Pop Art, pattern, small-scale, detached"
Style: Joseph Beuys,"Joseph Beuys style {prompt} . Fluxus, performance, social sculpture, felt","Minimalism, painting, object, metal"
Style: Berthe Morisot,"Berthe Morisot style {prompt} . Impressionist, feminine, domestic, light","Surrealist, masculine, public, dark"
Style: Agnes Martin,"Agnes Martin style {prompt} . Minimalist, geometric, grid, subtle","Baroque, organic, floral, bold"
Style: Yayoi Kusama (2),"Yayoi Kusama style {prompt} . Contemporary, polka dots, infinity rooms, red","Classical, plain, single room, blue"
Style: Andy Goldsworthy (2),"Andy Goldsworthy style {prompt} . Environmental, temporary, nature, outdoors","Industrial, permanent, man-made, indoors"
Style: Henri Cartier-Bresson,"Henri Cartier-Bresson style {prompt} . Photography, decisive moment, black and white, candid","Painting, posed, color, staged"
Style: Marina Abramović,"Marina Abramović style {prompt} . Performance, endurance, audience participation, minimal","Sculpture, instant, observer, complex"
Style: Man Ray,"Man Ray style {prompt} . Dada, photography, rayograph, experimental","Realism, painting, traditional, conventional"
Style: Käthe Kollwitz,"Käthe Kollwitz style {prompt} . Expressionist, social realism, black and white, human suffering","Impressionist, aestheticism, color, human joy"
Style: Robert Rauschenberg,"Robert Rauschenberg style {prompt} . Neo-Dada, combine, mixed-media, assemblage","Minimalism, singular material, oil painting, separated"
Style: Lyonel Feininger,"Lyonel Feininger style {prompt} . Expressionist, Cubist, architecture, transparent","Impressionist, organic, landscape, opaque"
Style: Tracey Emin,"Tracey Emin style {prompt} . YBA, confessional, neon, textile","Old Masters, universal, oil, marble"
Style: René Magritte,"René Magritte style {prompt} . Surrealist, object, juxtaposition, mystery","Realist, figure, relation, clarity"
Style: Henry Moore (2),"Henry Moore style {prompt} . Modernist, sculpture, organic, monumental","Classical, painting, geometric, small"
Style: Rachel Whiteread,"Rachel Whiteread style {prompt} . Contemporary, sculpture, negative space, cast","Traditional, drawing, positive space, sketch"
Style: Tomma Abts,"Tomma Abts style {prompt} . Abstract, geometric, small-scale, acrylic and oil","Figurative, organic, large-scale, watercolor"
Style: Max Ernst,"Max Ernst style {prompt} . Surrealist, collage, frottage, dreamlike","Realist, oil painting, brushwork, day-to-day"
Style: Richard Serra,"Richard Serra style {prompt} . Minimalist, sculpture, corten steel, site-specific","Baroque, painting, canvas, gallery-specific"
Style: Ernst Ludwig Kirchner,"Ernst Ludwig Kirchner style {prompt} . Expressionist, urban, woodcut, vibrant","Impressionist, rural, oil painting, subdued"
Style: Eva Hesse,"Eva Hesse style {prompt} . Postminimalist, sculpture, organic, fiberglass","Minimalist, painting, geometric, canvas"
Style: Paul Cézanne,"Paul Cézanne style {prompt} . Post-Impressionist, still life, geometric, brushwork","Impressionist, action, organic, smooth"
Style: Francis Bacon (2),"Francis Bacon style {prompt} . Expressionist, distorted, triptych, anguish","Classical, proportional, single panel, contentment"
Style: Louise Bourgeois (2),"Louise Bourgeois style {prompt} . Contemporary, sculpture, feminist, fabric","Classical, painting, patriarchal, oil"
Style: Chuck Close,"Chuck Close style {prompt} . Photorealism, portrait, large-scale, gridded","Impressionism, landscape, small-scale, loose"
Style: Thomas Gainsborough,"Thomas Gainsborough style {prompt} . Rococo, landscape, elegant, oil","Baroque, portrait, casual, pastel"
Style: Gerhard Richter (2),"Gerhard Richter style {prompt} . Abstract, squeegee, photo-based, blurred","Realistic, brushwork, imagination-based, detailed"
Style: Jean-Michel Basquiat (2),"Jean-Michel Basquiat style {prompt} . Neo-expressionist, graffiti, crown, vibrant","Photorealism, calligraphy, mundane, subdued"
Style: Alexander Calder,"Alexander Calder style {prompt} . Kinetic, mobile, primary colors, balanced","Static, statue, pastel colors, unbalanced"
Style: Jackson Pollock (2),"Jackson Pollock style {prompt} . Abstract Expressionist, drip, large-scale, spontaneous","Cubist, precise, small-scale, planned"
Style: Anselm Kiefer,"Anselm Kiefer style {prompt} . Neo-expressionist, monumental, textured, historical","Minimalist, small-scale, smooth, futuristic"
Style: Amedeo Modigliani,"Amedeo Modigliani style {prompt} . Modernist, portrait, elongated, nude","Cubist, landscape, proportional, clothed"
Style: Gilbert & George,"Gilbert & George style {prompt} . Contemporary, photographic, duo, confrontational","Traditional, painted, individual, pleasant"
Style: El Greco,"El Greco style {prompt} . Mannerist, religious, elongated, dramatic","Renaissance, secular, proportional, calm"
Style: Salvador Dalí (2),"Salvador Dalí style {prompt} . Surrealist, dreamlike, precise, melting","Realist, day-to-day, loose, solid"
Style: Rembrandt van Rijn,"Rembrandt van Rijn style {prompt} . Baroque, self-portrait, chiaroscuro, etching","Rococo, group portrait, bright, oil painting"
Style: Keith Haring (2),"Keith Haring style {prompt} . Pop art, street art, bold lines, active figures","Impressionism, studio art, fine brushwork, passive landscape"
Style: Georgia O'Keeffe (2),"Georgia O'Keeffe style {prompt} . Modernist, flowers, close-up, sensual","Cubist, objects, far-off, detached"
Style: Caravaggio (2),"Caravaggio style {prompt} . Baroque, tenebrism, dramatic, religious","Renaissance, bright, calm, secular"
Style: Louise Nevelson,"Louise Nevelson style {prompt} . Abstract expressionist, sculpture, monochrome, found objects","Realist, painting, colorful, new materials"
